FullName,Winery,ScoreAIS,Grapes,Tasting Notes,Pairing,Price,Bottles,Alcohol,Aging
Collina Serragrilli,Langhe Bianco Grillobianco 2020,,Chardonnay 90% – Sauvignon 10%,,Formaggi freschi o a pasta filata,16,5,"13,5",Acciaio 3 mesi
Colombo Cascina Pastori,Piemonte Pinot Nero Apertura 2017,,Pinot nero 100%,,Risotti di terra,18,10,"13,5",Acciaio e Legno 12 mesi
Conterno Fantino,Barolo Mosconi Vigna Ped 2017,93,Nebbiolo 100%,"Un Mosconi che propone al meglio i caratteri del vigneto: potenza e frutto Il piglio olfattivo è intenso ed elegante, con note iniziali torrefatte e mentolate e poi via via più fruttate e raffinate ricordando sentori di fragola macerata e viola, confetture, ciliegia e lampone maturo Potente e vigoroso è l'apporto gustativo, importante nell'impatto e nel tannino ma anche lungo e saporito nel finale",Tajarin al tartufo,75,6,"14,5",Legno 24 mesi
Conterno Fantino,Barolo Ginestra Vigna Del Gris 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,65,9,"14,5",Legno 24 mesi
Conterno Fantino,Barolo Castelletto Vigna Pressenda 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,65,6,"14,5",Legno 24 mesi
Conterno Fantino,Langhe Chardonnay Bastia 2019,,Chardonnay 100%,,Carni bianche o da cortile,25,6,13,Legno 12 mesi
Coppo,Nizza Pontiselli 2018,94,Barbera 100%,"Rubino scuro e compatto Bouquet ampio e intenso Emergono sentori di confettura di more, prugna disidratata, iris, liquirizia, rabarbaro, legni, humus e pepe Il sorso è ricco ed equilibrato L'acidità sostiene la beva e maschera l'importante grado alcolico Regala un finale lunghissimo e molto gustoso",Filetto di manzo con salsa al Roquefort,60,3,16,Legno 14 mesi
Coppo,Piemonte Chardonnay Monteriolo 2018,,Chardonnay 100%,,Piatti di pesce,35,12,13,Legno 9 mesi
Coppo,Alta Langa Brut Riserva 2016,,Pinot nero 80% –  Chardonnay 20%,,Piatti di pesce,35,6,13,Legno 9 mesi | 48 mesi sui lieviti
Coppo,Nizza Bric Del Marchese 2018,,Barbera 100%,,Carni rosse o selvaggina,60,3,16,Legno 14 mesi
Coppo,Nizza Riserva Della Famiglia 2017,,Barbera 100%,,Formaggi stagionati o erborinati,110,2,"16,5",Legno 14 mesi
Giovanni Corino,Barolo Giachini 2017,,Nebbiolo 100%,"Granato fitto Porta con grazia le stigmate d'una nebbiolesca modernità: tabacco, mora, mentolo, varie finezze balsamiche, spezie dolci e lussuose L'estrazione di tutte le componenti è vigorosa, con tannini salienti, ancora un poco monolitici Impressionante la sostanza gustativa",Piccione in casseruola,50,6,"15,5",Acciaio 7 mesi e Legno 24 mesi
Giovanni Corino,Barolo Riserva 2015,,Nebbiolo 100%,,Formaggi stagionati o erborinati,95,1,15,Acciaio 7 mesi e Legno 24 mesi
Giovanni Corino,Barolo Arborina 2017,,Nebbiolo 100%,,Formaggi stagionati o erborinati,55,2,15,Acciaio 7 mesi e Legno 24 mesi
Giovanni Corino,Barolo Del Comune Di La Morra 2017,,Nebbiolo 100%,,Risotti di terra,33,10,15,Acciaio 7 mesi e Legno 24 mesi
Cornarea,Roero Arneis Enritard 2017,92,Arneis 100%,"Luminosa veste giallo paglierino Delicato, elegante e austero Subito spezie chiare, poi fiori bianchi, agrumi, erbe aromatiche, un bel finale di miele a completare la bella progressione Sorso ricco e di gustosa sapidità; appagante, invita al riassaggio grazie a un preciso finale delicatamente amarognolo",Quaglie in foglie di vite,18,3,"13,5",Acciaio 24 mesi
Cornarea,Tarasco 2017,,Arneis 100%,,"Pasticceria secca, torte o cioccolato",29,3,"12,5",Legno 40 mesi
Cornarea,Roero 2018,,Nebbiolo 100%,,Carni rosse o selvaggina,20,6,14,Legno 22 mesi
Cornarea,Roero Arneis 2020,,Arneis 100%,,Primi piatti di pasta o pasta fresca ripiena,15,70,"13,5",Acciaio 4 mesi
Roberto Crosio,Erbaluce Di Caluso Spumante Brut,,Erbaluce 100%,"Giallo paglierino intenso, perlage ricercato e persistente Piacevole combinazione olfattiva di cedro candito e bergamotto che si amalgama a note di mela golden e pesca Il palato è avvolto dalla cremosa e piacevole effervescenza che offre spunti di fresca sapidità unita alla persistenza agrumata finale",Vellutata di piselli e gamberi,19,5,"12,5",Acciaio 8 mesi | 40 mesi sui lieviti
Roberto Crosio,Erbaluce Di Caluso Costaparadiso 2018,,Erbaluce 100%,,"Crostacei, molluschi o crudità",17,2,"14,5",Legno 12 mesi
Roberto Crosio,Erbaluce Di Caluso Primavigna 2020,,Erbaluce 100%,,Piatti di pesce,12,8,"13,5",Acciaio 6 mesi
Roberto Crosio,Piemonte Rosato Rosadeimonti 2020,,Nebbiolo 85% – Syrah 15%,,Formaggi freschi o a pasta filata,9,2,"12,5",Acciaio 4 mesi
Roberto Crosio,Canavese Nebbiolo Gemini 2018,,Nebbiolo 100%,,Carni rosse o selvaggina,14,2,14,Legno 12 mesi
Roberto Crosio,Erbaluce Di Caluso Erbalus 2020,,Erbaluce 100%,,Piatti di pesce,7,7,"12,5",Acciaio 4 mesi
Deltetto,Alta Langa Brut 2017,,"Pinot nero 55% – Chardonnay 45% Alc.12,5%",,Piatti di pesce,20,16,"12,5",
Dosio,Barolo Fossati 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,45,6,"14,5",Legno 36 mesi
Dosio,Barolo Del Comune Di La Morra 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,29,4,"14,5",Legno 36 mesi
Dosio,Langhe Nebbiolo 2019,,Nebbiolo 100%,,Risotti di terra,19,4,"14,5",Legno 24 mesi
Dosio,Roero Arneis 2020,,Arneis 100%,,Formaggi freschi o a pasta filata,9,4,"13,5",
Benito Favaro,Erbaluce Di Caluso 13 Mesi 2019,93,Erbaluce 100%,"Paglierino intenso con delicati riflessi verdolino Espressioni olfattive intense di garbata complessità che ricordano il pompelmo e l'uva spina, cenni aromatici di rosmarino e timo, il tutto rifinito da una sfumatura di miele e fiori gialli In bocca è caratterizzato da intensa sapidità, netta freschezza e perfetto equilibrio",Stoccafisso mantecato,16,,13,Legno 12 mesi
Benito Favaro,Erbaluce Di Caluso Le Chiusure 2019,,Erbaluce 100%,,Piatti di pesce,14,,13,Acciaio 4 mesi
Benito Favaro,Canavese Nebbiolo 2019,,Nebbiolo 100%,,Carni bianche o da cortile,25,,14,Legno 12 mesi
Benito Favaro,Rossomeraviglia 2019,,Syrah 100%,,Carni rosse o selvaggina,20,1,14,Legno 12 mesi
Benito Favaro,F2 2019,,Freisa 100%,,Primi piatti di pasta o pasta fresca ripiena,10,800,13,Acciaio 12 mesi e Legno 12 mesi
Ferrando,Carema Etichetta Nera 2017,95,Nebbiolo 100%,"Granato di esemplare trasparenza Eleganza, complessità olfattiva e bevibilità sono i punti di riferimento di questo nobile vino Spunti balsamici ed erbe officinali, confetture e gelatina di frutta rossa Sapore intenso segnato da gustosa sapidità e delicato tannino Equilibrio e persistenza",Bocconcini di manzo e funghi,70,2,14,Legno 30 mesi
Ferrando,Carema Etichetta Bianca 2017,,Nebbiolo 100%,,Risotti di terra,45,5,"13,5",Legno 30 mesi
Ferrando,Erbaluce Di Caluso Cariola 2020,,Erbaluce 100%,,,12,5,"12,5",
Roberto Ferraris,Nizza Liberta 2018,,Barbera 100%,"Rubino compatto Quadro olfattivo che apre su more e amarene mature, composta di sambuco, seguiti da fiori rossi appassiti, liquirizia dolce, cannella e sbuffi mentolati Un palato ricco di sostanza, dove l'alcol si pone in millimetrico equilibrio a tanta freschezza e a lievi sensazioni tanniche",Bolliti misti e salse,28,2,"15,5",Acciaio 3 mesi e Legno 18 mesi
Livia Fontana,Barolo Villero 2017,92,Nebbiolo 100%,"Campione di eleganza, è un Villero dal grande naso, pregiato nelle note perfettamente fuse di noce moscata e bacche, pepe e fiori passiti, frutta rossa e pesca Grande finezza anche al gusto, pieno e morbido, appena tannico e gustoso in chiusura Buonissimo",Ossobuco,70,3,"14,5",Legno 41 mesi
Livia Fontana,Roero Arneis 2020,,Arneis 100%,,Formaggi freschi o a pasta filata,14,12,"13,5",
Fontanafredda,Barolo Vigna La Rosa 2017,,Nebbiolo 100%,"Granato Naso espansivo, centrato su una ricca presenza di piccole bacche rosse e punteggiato da interludi balsamico-mentolati, di chiodo di garofano, mammola Alla gioventù del naso corrisponde la potenza grintosa del palato, serralunghiano nel tannino e nella sapidità dell'ottimo finale",Stinco di fassone,55,6,"14,5",Legno 12 mesi
Fontanafredda,Alta Langa Blanc De Blancs Extrabrut 2017,,Chardonnay 100%,,"Crostacei, molluschi o crudità",20,12,12,
Fontanafredda,Langhe Riesling Marin 2018,,Riesling 100%,,"Crostacei, molluschi o crudità",15,13,"12,5",
Fracassi Ratti Mentone,Barolo Mantoetto 2017,91,Nebbiolo 100%,"Rosso granato, luminoso e intenso Naso affascinante, variegato e di notevole profondità Ciliegia sotto spirito, viola e liquirizia, ricca dotazione balsamica con menta, anice, cannella e rabarbaro Nobile base tannica, scintillante coda fruttata, persistente con pregevole vigore finale",Guancia di vitello brasata al Barolo,30,3,"14,5",Acciaio 12 mesi e Legno 36 mesi
Gianni Gagliardo,Barolo Lazzarito Vigna Preve 2017,92,Nebbiolo 100%,"Granato scuro, vanta un profilo olfattivo di superba integrità, dominato da sentori puri e croccanti di erbe di montagna, lampone, ciliegia e poi arancia sanguinella, bacche, foglie secche e confetture Succosa ed equilibrata, la bocca conferma pienezza e precisione, con tannini dolci e sfumati Eccellente",Carrè d'agnello al forno,95,2,"14,5",Legno 33 mesi
Gianni Gagliardo,Barolo Mosconi 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,75,1,"14,5",Legno 33 mesi
Gianni Gagliardo,Barolo Serra Dei Turchi 2017,,Nebbiolo 100%,,Formaggi stagionati o erborinati,820,136,"14,5",Legno 32 mesi
Gianni Gagliardo,Barolo Castelletto 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,75,2,"14,5",Legno 30 mesi
Gaja,Barbaresco 2018,97,Nebbiolo 100%,"E’ un Barbaresco spettacolare e molto espressivo Il naso brilla di una intensità di rara definizione con profumi di viola e gladioli, incenso, lavanda, viola e petali di rosa, poi fragolina, tè e pesca Al gusto equilibrio e morbidezza e finale fruttato",Tournedos pepe nero e uvetta,190,45,14,
Gaja,Barolo Conteisa 2017,95,Nebbiolo 100%,"Mai così bello e definito E’ fresco, espressivo, dalla trama floreale e fruttata con note di violetta e rosa, ciliegia e fragola macerata, confetture e melograno In bocca ammalia per equilibrio e sapore: è pieno e fresco",Castelmagno di alpeggio,230,12,"14,5",
Gaja,Barolo Sperss 2017,94,Nebbiolo 100%,"Sperss raffinato, con profumi molto fini di frutta rossa, ciliegia, lampone, fragola e gelatina uniti a violetta, rosa ed erbe La bocca dà il meglio e si espande morbida e calibrata, fresca e appena tannica",Piccione arrosto lardellato,260,16,"14,5",
Piero Gatti,Verbeia 2019,,Barbera 80% – Freisa 20%,,Formaggi stagionati o erborinati,13,2,"13,5",Acciaio 6 mesi e Legno 2 mesi
Piero Gatti,Violetta 2020,,Freisa 100%,,Piatti di verdure,10,2,"13,5",Acciaio 5 mesi
Piero Gatti,Piemonte Brachetto 2020,,"Brachetto 100%  Alc.6,5%",,Dolci al cucchiaio o a base di frutta,12,10,"6,5",
Piero Gatti,Vignot 2019,,Moscato bianco 100%,,"Pasticceria secca, torte o cioccolato",20,2,13,Acciaio 12 mesi
Ettore Germano,Barolo Vignarionda 2016,95,Nebbiolo 100%,"Un Rionda che vale la pena assaggiare, tutto frutta e dolcezza, qualche sbuffo minerale e poi un gran carattere gustativo Il naso è fresco, fatto di note zuccherate di lamponi e ciliegie, fragola macerata, viola, mou e delicata torrefazione Copiosa anche la bocca, di sostanza ma con tanto equilibrio Grande",Filetto di cervo ai mirtilli,100,2,14,Legno 24 mesi
Ettore Germano,Barolo Cerretta 2017,93,Nebbiolo 100%,"Molto tonico ed elegante, propone un naso di notevole definizione, dal piglio fresco e decisamente tipico con note di fiori passiti, confetture e spezie fini Importante e ordinata anche la bocca, munita di tannini fini, acidità e lungo e saporoso finale Gran classe Al meglio dal 2028",Lombata di vitello con funghi porcini,49,13,14,Legno 24 mesi
Ettore Germano,Barolo Lazzarito Riserva 2015,,Nebbiolo 100%,,Carni rosse o selvaggina,65,5,14,Legno 36 mesi
Bruno Giacosa,Barbaresco Asili Riserva 2016,97,Nebbiolo 100%,"A lungo atteso, l'Asili '16 di Giacosa è un vino di grande nobiltà Scuro, ha un naso austero e integro, ancora poco espressivo e sciolto Il piglio è classico, con note di fiori passiti, spezie fini, apporti fruttati di gran classe La bocca è perfetta in tutto, morbida e appagante: del resto siamo al vertice",Tournedos alla Rossini,400,11,"14,5",Legno 20 mesi
Bruno Giacosa,Roero Arneis 2020,,Arneis 100%,,Piatti di verdure,21,120,14,Acciaio 4 mesi
Teresio Giordanino,Colline Saluzzesi Saluces 2018,,Chatus 90% – Barbera 5% – Neretta cuneese 5%,"Rubino su un compatto sfondo granato Confetture di frutti di bosco, ribes nero, un'eterea amarena sotto spirito, praline di cioccolata al rum, terriccio e foglie secche Il sorso è denso, potente, con una trama tannica fitta ma in via di integrazione Chiude rapidamente con suggerimenti di mora",Sella di coniglio al vino rosso,15,1,13,Acciaio 6 mesi e Legno 12 mesi
Teresio Giordanino,Colline Saluzzesi Quagliano 2020,,"Quagliano 100%  Alc.5,5%",,Dolci al cucchiaio o a base di frutta,8,2,"5,5",
Carlo Gnavi,Caluso Passito Revej Riserva 2009,93,Erbaluce 100%,"Nobile colore ambrato scuro, ricco di suggestioni e complessità odorose, dalle speziature balsamiche alle erbe officinali, che abbracciano miele, canditi di agrumi, frutta secca, in primis il fico e la noce, un soffio di tabacco dolce e legni di antiche spezierie Al palato è avvolgente, di grande suadenza e morbidezza, ritto sulla efficace freschezza e proporzionata dolcezza",Torcetti canavesani,35,2,14,Acciaio 3 mesi
Elio Grasso,Barolo Gavarini Chiniera 2017,,Nebbiolo 100%,,Formaggi stagionati o erborinati,85,18,"14,5",Legno 30 mesi
Bruna Grimaldi,Barolo Badarina 2017,92,Nebbiolo 100%,"Scintillante granato In equilibrio tra classicità ed espansività: corteccia, china, liquirizia e fiori essiccati, lampi più leggiadri di frutta macerata, mentolo, eucalipto Continua la progressione, confermata dall'assaggio Il tannino è tipico, accompagnato da una bella freschezza e una gustosa sapidità",Filetto di cervo al timo e crescione,60,6,15,Legno 30 mesi
Bruna Grimaldi,Barolo Bricco Ambrogio 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,50,4,15,Legno 30 mesi
Giacomo Grimaldi,Barolo Ravera 2017,92,Nebbiolo 100%,"Ravera delizioso in pieno stile Grimaldi: il naso è pregiato, dolce di spezie e polposi frutti di sottobosco, torrefazione e fiori passiti Si notano cacao e amarena, ciliegia in confettura, menta e viola La bocca conferma e raddoppia, offrendo struttura e vigore con tannini fitti ma maturi",Raschera d'alpeggio,54,3,"14,5",Legno 24 mesi
Giacomo Grimaldi,Barolo Sottocastello Di Novello 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,54,3,"14,5",Legno 24 mesi
Giacomo Grimaldi,Barolo 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,35,14,"14,5",Legno 24 mesi
Paride Iaretti & C.,Gattinara Vigna Valferana 2017,94,Nebbiolo 100%,"Granato classico e luminoso, il bouquet è nitido, esemplare, solido nell'espressione territoriale della mineralità ferrosa inglobata dal nobile fruttato di agrume e frutti rossi profumati, speziatura e tracce balsamiche di anice ed erbe officinali Al sorso è ancora giovane ma già determinato nell'espressione e nell'equilibrio Lunga e incisiva persistenza",Stufato di manzo,45,2,"14,5",Legno 36 mesi
Paride Iaretti & C.,Gattinara Pietro 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,30,5,14,Legno 36 mesi
Il Falchetto,Piemonte Pinot Nero Solo 2018,,Pinot nero 100%,,Carni rosse o selvaggina,20,4,13,Acciaio 4 mesi e Legno 10 mesi
Ioppa,Ghemme 2016,,Nebbiolo 85% – Vespolina 15%,,Primi piatti di pasta o pasta fresca ripiena,18,15,14,Legno 36 mesi
Ioppa,Ghemme Bricco Balsina 2016,,Nebbiolo 85% – Vespolina 15%,,Carni rosse o selvaggina,28,2,14,Legno 36 mesi
Ioppa,Colline Novaresi Nebbiolo Rusin 2020,,Nebbiolo 100%,,Piatti di verdure,8,240,"12,5",Acciaio 6 mesi
La Chimera  Viticoltura Eroica,Bau 2016,,Becuet 60% – Barbera 40%,"Granato con orlo rubino, l'esordio è giocato su intensi profumi speziati e balsamici con netti riconoscimenti di erbe officinali, assenzio, liquirizia dolce, zenzero e cannella Sapore ricco e intenso articolato su dinamica freschezza, deciso tannino e finale mentolato",Trippa in umido,15,1,"14,5",Legno 12 mesi
La Chimera  Viticoltura Eroica,Ae Brut Nature,,Avanà 100%,,"Crostacei, molluschi o crudità",18,1,"12,5",
La Fusina,Dogliani Superiore San Luigi 2018,,Dolcetto 100%,"Rubino di elegante concentrazione Austero, con precise note di ciliegia, bacche rosse di misurata dolcezza ed una slanciata profusione floreale, iris, glicine L'attacco in bocca è altrettanto preciso, gradevole nell'alternanza di tannini cesellati e volume generoso Promette ulteriori, nobili, evoluzioni","""Raviole"" al vino",14,5,14,Acciaio 6 mesi e Legno 6 mesi
La Fusina,Langhe Nebbiolo 2020,,Nebbiolo 100%,,Carni rosse o selvaggina,15,7,14,Acciaio 6 mesi e Legno 6 mesi
La Fusina,Barolo Perno 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,32,4,15,Legno 30 mesi
La Fusina,Dogliani Santa Lucia 2020,,Dolcetto 100%,,Primi piatti di pasta o pasta fresca ripiena,10,10,"13,5",
La Fusina,Alta Langa Dosaggio Zero 2017,,Pinot nero 100%,,"Crostacei, molluschi o crudità",27,3,"12,5",Acciaio 6 mesi | 40 mesi sui lieviti
La Gironda,Nizza Le Nicchie 2018,,Barbera 100%,,Carni rosse o selvaggina,24,7,"15,5",Acciaio 6 mesi e Legno 12 mesi
La Gironda,Galandrino Brut 2016,,Chardonnay 80% – Pinot  nero 20%,,"Crostacei, molluschi o crudità",20,2,"13,5",Acciaio 7 mesi | 40 mesi sui lieviti
La Gironda,Monferrato Rosso Soul 2017,,Nebbiolo 100%,,Primi piatti di pasta o pasta fresca ripiena,22,3,"14,5",Legno 18 mesi
La Masera,Erbaluce Di Caluso Passito Venanzia 2013,,Erbaluce 100%,,Formaggi stagionati o erborinati,23,1,12,Legno 48 mesi
La Masera,Erbaluce Di Caluso Spumante Brut,,Erbaluce 100%,,"Crostacei, molluschi o crudità",25,3,13,Acciaio 6 mesi e Legno 6 mesi | 60 mesi sui lieviti
La Masera,Canavese Barbera Monte Gerbido 2018,,Barbera 100%,,Primi piatti di pasta o pasta fresca ripiena,9,1,"14,5",Acciaio 10 mesi
La Montagnetta,Piemonte Freisa Anphora 2018,,Freisa 100%,e Terracotta abbinamento Carni bianche o da cortile,,20,650,14,
La Montagnetta,Piemonte Rosato Il Ciaret 2020,,Freisa 100%,,Salumi o insaccati,9,4,13,Acciaio 6 mesi
La Prevostura,Lessona 2017,92,Nebbiolo 100%,"Granato splendido, profuma di nobili essenze balsamiche, menta, anice, assenzio e tante altre erbe officinali, non manca il frutto ricco e succoso di gelatina di frutti rossi e cenni di agrume Sorso gradevolissimo per equilibrio, sapiente sapidità unita ad una struttura tannica integra Il tempo lo impreziosirà",Trancio di tonno alla piastra,30,,14,Acciaio e Legno 22 mesi
La Prevostura,Coste Della Sesia Rosso Muntacc 2019,,Nebbiolo 85% – Vespolina 15%,,Primi piatti di pasta o pasta fresca ripiena,18,,14,Acciaio e Legno 15 mesi
La Scolca,Gavi Dei Gavi Etichetta Nera 2020,93,Cortese 100%,"Paglierino chiaro Naso elegantissimo che inizia con la tipica trama gessosa, seguita da delicate sfumature di ananas, bergamotto, lime, pera Williams, fiori di montagna, fieno bagnato e mazzetto di erbe aromatiche Palato fine, garbato, leggiadro, lungo, dove tutte le percezioni gusto-olfattive, in progressione, si uniscono armoniosamente",Filetto di branzino alle olive taggiasche,25,240,12,Acciaio 7 mesi
La Scolca,Soldati La Scolca Brut,,Cortese 100%,,Piatti di pesce,18,,"12,5",
Le Marie,Blanc De Lissart 2020,,Malvasia moscata 100%,"Lucentissimo giallo paglierino Ammaliante l'attacco aromatico, con delicati sbuffi vegetali e balsamici Seguono nitidi e freschi sentori floreali, che terminano con effluvi di pesca di vigna, uva spina e agrumi Preciso nei richiami retrolfattivi, lungo, appagante, sapido, di grande bevibilità",Caprino di lunga stagionatura,14,10,"12,5",Acciaio 6 mesi
Le Marie,Doux De Lissart 2018,,Malvasia moscata 100%,,Formaggi stagionati o erborinati,26,1,15,
Le Pianelle,Bramaterra 2017,92,Nebbiolo 80% – Croatina 10% – Vespolina 10%,"Granato luminoso con bagliore rubino Olfatto di grande eleganza e finezza, prima di tutto i fiori, appena sbocciati, rose, peonie e iris, frutta macerata in alcol, su tutti il lampone e la mora, per chiudere balsamico su cenni di liquirizia dolce Il sorso è equilibrato, lungo di sapore dal finale sapido segnato da tannino finissimo",Fagiano ripieno con foie gras,45,5,13,Acciaio 3 mesi e Legno 18 mesi
Le Pianelle,Coste Della Sesia Rosso Al Forte 2018,,Nebbiolo 70% – Croatina 20% – Vespolina 10%,,Primi piatti di pasta o pasta fresca ripiena,28,3,"13,5",Acciaio 6 mesi e Legno 18 mesi
Walter Lodali,Barbaresco Lorens 2018,,Nebbiolo 100%,"Granato scuro Il primo naso registra una soffusione variegata di spezie, tra cui noce moscata e chiodo di garofano, cui fa seguito una chiara traccia mentolata e, infine, fragolina e ribes rosso I piccoli frutti costituiscono l'ideale trait-d'union con il palato, lungo e dotato di solidi pilastri tannici",Lingua in crosta croccante,42,5,15,Legno 24 mesi
Walter Lodali,Barbaresco Rocche Dei Sette Fratelli 2018,,Nebbiolo 100%,,Formaggi stagionati o erborinati,23,8,"14,5",Legno 18 mesi
Walter Lodali,Barolo Bricco Ambrogio 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,28,9,"14,5",Legno 24 mesi
Walter Lodali,Barolo Lorens 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,45,4,15,Legno 24 mesi
Walter Lodali,Langhe Chardonnay Lorens 2019,,Chardonnay 100%,,Piatti di pesce,30,4,14,Legno 9 mesi
Malabaila,Roero Bric Volta 2018,,Nebbiolo 100%,"Rosso granato luminosissimo Si schiude elegante e dolce, proponendo caramelline al lampone e alla mora, spezie esotiche, incenso, aghi di pino, mentolo, tabacco biondo L'assaggio lo svela caldo e di bella struttura, ben controbilanciato da una sapidità tipicamente territoriale e da un gustoso tannino",Coscia di tacchino glassata,16,6,"14,5",Acciaio 4 mesi e Legno 18 mesi
Malabaila,Roero Castelletto Riserva 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,30,4,"14,5",Acciaio 4 mesi e Legno 24 mesi
Malabaila,Roero Arneis Pradvaj 2020,,Arneis 100%,,Formaggi freschi o a pasta filata,15,10,13,Acciaio 7 mesi
Malabaila,Langhe Rosato Donna Costanza 2020,,Nebbiolo 100%,,Salumi o insaccati,13,5,"13,5",Acciaio 4 mesi
Paolo Manzone,Barolo Meriame 2017,93,Nebbiolo 100%,"Granato Già affascina per articolazione: fragolina, menta, ricco fondale speziato-floreale, echi di caldo sottobosco e tè al bergamotto In bocca è serralunghiano con giudizio: sorso tannico e potente, gustoso, che nell’appagante finale sta iniziando a sciogliere i nodi tattili",E che futuro! Coda al forno,35,8,14,Legno 27 mesi
Paolo Manzone,Barolo Riserva 2015,,Nebbiolo 100%,,Carni rosse o selvaggina,60,2,"14,5",Legno 27 mesi
Paolo Manzone,Barolo Del Comune Di Serralunga 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,35,15,14,Legno 27 mesi
Marchese Luca Spinola,Gavi Del Comune Di Gavi Massimiliano 2019,,Cortese 100%,"Paglierino vivace Subito all'olfatto mela renetta, banana, buccia di cedro, pesca saturnina, seguiti dal fiore di camomilla, l'acacia, timo e maggiorana, per chiudere con la fienagione estiva Il sorso gioca tanto sulla freschezza, la stuzzicante scia sapida e lunghe e gradevoli persistenze",Tartare di tonno fresco,25,3,14,Acciaio 6 mesi e Legno 6 mesi
Marchese Luca Spinola,Gavi Del Comune Di Gavi Carlo 2020,,Cortese 100%,,Primi piatti di pasta o pasta fresca ripiena,16,20,13,Acciaio 6 mesi
Marchesi Di Barolo,Barolo Cannubi 2017,92,Nebbiolo 100%,"Granato fitto Tutta la seduzione olfattiva del cru: mora e fragola, corteccia di china calissaia, rabarbaro, spezie raffinate, fulgida viola Eleganza da vendere, cui s'adegua la nobiltà del palato, mirabile per stoffa tannica, dotato d'un passo superiore e d'un finale progressivo, sapiente",Faraona ripiena,65,26,14,Legno 13 mesi
Marchesi Di Barolo,Barolo Sarmassa 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,65,15,14,Legno 24 mesi
Marchesi Di Barolo,Barolo Del Comune Di Barolo 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,60,25,14,Legno 23 mesi
Marengo,Barolo Bricco Delle Viole 2017,92,Nebbiolo 100%,"Carnoso, puro, austero Scioglie note di erbe e lampone maturo, viole a liquirizia dolce, cacao e torrefazione; è un naso bellissimo, intenso e floreale, ampio e compatto La bocca è vigorosa e saporita con mirabile equilibrio e tannini finissimi Al meglio dal 2027",Agnello al forno,40,6,15,Legno 24 mesi
Gian Piero Marrone,Barolo 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,50,14,"14,5",Legno 24 mesi
Gian Piero Marrone,Langhe Chardonnay Memundis 2019,,Chardonnay 100%,,Carni bianche o da cortile,32,10,"14,5",Legno 24 mesi
Franco Maria Martinetti,Gavi Minaia 2020,92,Cortese 100%,"Paglierino Pur se in una fase aurorale dello sviluppo olfattivo, già affascina per le sensazioni di cera d'api, mela e pera croccanti e mature, ginestra, erbe aromatiche, bene augurali intuizioni di frutta secca L'ampiezza gustativa è ottima, la verticalità sapido-gessosa pure, la persistenza eccellente",Orata alla mugnaia,29,8,13,Legno 10 mesi
Franco Maria Martinetti,Barolo Marasco 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,54,7,15,Legno 30 mesi
Franco Maria Martinetti,Colli Tortonesi Martin 2020,,Timorasso 100%,,"Crostacei, molluschi o crudità",35,4,14,Legno 10 mesi
Franco Maria Martinetti,Gavi Del Comune Di Gavi 2020,,Cortese 100%,,Piatti di verdure,17,18,"12,5",Acciaio 9 mesi
Massolino - Vigna Rionda,Barolo Parafada 2017,94,Nebbiolo 100%,"Parafada dalla trama molto fruttata come di consueto E’ un naso integro, dai sentori di ciliegia e fragola macerata, melograno, pesca e noce moscata La bocca è grintosa, dal sapore pieno e ordinato Un Big",Filetto in crosta,65,5,14,Acciaio 5 mesi e Legno 30 mesi
Massolino - Vigna Rionda,Barolo Vigna Rionda Riserva 2015,94,Nebbiolo 100%,"Torrefatto, importante: naso di cacao e liquirizia, frutta scura, mora, menta, erbe officinali e confetture Bocca prestante, vigorosa, con tannini presenti ma sfumati Una Rionda da maturare bene Dal 2030",Spezzatino di cervo,110,8,"14,5",Legno 42 mesi
Massolino - Vigna Rionda,Barolo Parussi 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,65,6,"14,5",Acciaio 5 mesi e Legno 30 mesi
Massolino - Vigna Rionda,Barolo 2017,,Nebbiolo 100%,,Primi piatti di pasta o pasta fresca ripiena,30,70,"14,5",Acciaio 5 mesi e Legno 30 mesi
Massolino - Vigna Rionda,Langhe Nebbiolo 2019,,Nebbiolo 100%,,Formaggi stagionati o erborinati,17,,14,Legno 12 mesi
